"destiny_code","destiny","year","Siria","Afganistán","Iraq","Rusia","Serbia","Somalia","Pakistán","Nigeria","Irán","Kosovo","max","min","dif","win","total_country"
"PL","Polonia","2013",1,0.444444,0,0.190981,NA,1,0,NA,NA,NA,1,0,1,"Siria",25745
"PL","Polonia","2014",1,0.7,1,0.237548,NA,1,0,NA,0,NA,1,0,1,"Siria",25745
"PT","Portugal","2008",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,0,"Somalia",705
"PT","Portugal","2009",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,0,"Somalia",705
"PT","Portugal","2010",NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,0.5,0.5,0,"Nigeria",705
"PT","Portugal","2011",NA,NA,NA,NA,NA,1,NA,0,NA,NA,1,0,1,"Somalia",705
"PT","Portugal","2012",NA,NA,NA,NA,NA,NA,NA,0,1,NA,1,0,1,"Irán",705
"PT","Portugal","2013",1,NA,NA,NA,NA,NA,NA,0.142857,NA,NA,1,0.142857,0.857143,"Siria",705
"PT","Portugal","2014",NA,NA,NA,NA,NA,NA,0.8,1,NA,NA,1,0.8,0.2,"Nigeria",705
"RO","Rumanía","2008",NA,NA,0.703704,0,0,NA,0,NA,NA,NA,0.703704,0,0.703704,"Iraq",6720
"RO","Rumanía","2009",NA,0.5,0.833333,0,NA,1,0,NA,NA,NA,1,0,1,"Somalia",6720
"RO","Rumanía","2010",0,0.555556,0.444444,0,NA,NA,0,0,0,NA,0.555556,0,0.555556,"Afganistán",6720
"RO","Rumanía","2011",0,0.5,0.714286,0,NA,NA,0,NA,1,NA,1,0,1,"Irán",6720
"RO","Rumanía","2012",0.757576,0.3,0.6,NA,0,0.5,0,0,0.5,NA,0.757576,0,0.757576,"Siria",6720
"RO","Rumanía","2013",0.897143,0.0833333,0.5,NA,NA,NA,0.0952381,0,1,NA,1,0,1,"Irán",6720
"RO","Rumanía","2014",0.768595,0.213115,0.578947,0,NA,0.666667,0.25,0,0.0833333,NA,0.768595,0,0.768595,"Siria",6720
"SE","Suecia","2008",0.104762,0.440994,0.310373,0.125,0.0991379,0.579848,0.333333,0.04,0.201439,NA,0.579848,0.04,0.539848,"Somalia",222175
"SE","Suecia","2009",0.0693069,0.563063,0.237589,0.112903,0.0357143,0.677885,0,0.0392157,0.196429,0.0775194,0.677885,0,0.677885,"Somalia",222175
"SE","Suecia","2010",0.209877,0.572626,0.444134,0.112994,0.00629591,0.711356,0.0588235,0.0754717,0.216102,0.0358974,0.711356,0.00629591,0.705061,"Somalia",222175
"SE","Suecia","2011",0.264151,0.668848,0.459948,0.0903955,0.00461894,0.710236,0.137931,0.0625,0.319502,0.0376569,0.710236,0.00461894,0.705617,"Somalia",222175
"SE","Suecia","2012",0.914989,0.603819,0.334951,0.168067,0.00613497,0.503667,0.205882,0.0882353,0.346939,0.0612245,0.914989,0.00613497,0.908854,"Siria",222175
"SE","Suecia","2013",0.885348,0.611026,0.288793,0.304878,0.0126984,0.377049,0.211538,0.127451,0.414035,0.0285714,0.885348,0.0126984,0.872649,"Siria",222175
"SE","Suecia","2014",0.998469,0.743003,0.496894,0.377358,0.0258065,0.689655,0.30303,0.340426,0.651376,0.10687,0.998469,0.0258065,0.972662,"Siria",222175
"SI","Eslovenia","2008",NA,NA,NA,NA,0,NA,NA,0,0,NA,0,0,0,"Serbia",750
"SI","Eslovenia","2009",NA,0.5,NA,NA,0,NA,NA,NA,NA,0,0.5,0,0.5,"Afganistán",750
"SI","Eslovenia","2010",NA,0,0,NA,0,NA,NA,0,NA,0,0,0,0,"Afganistán",750
"SI","Eslovenia","2011",NA,0,0,0,0,0,0,0,0,0,0,0,0,"Afganistán",750
"SI","Eslovenia","2012",0,0.125,NA,NA,0,1,0,NA,0.5,0,1,0,1,"Somalia",750
"SI","Eslovenia","2013",0.666667,0.25,NA,0,0,0,0,0,NA,0,0.666667,0,0.666667,"Siria",750
"SI","Eslovenia","2014",1,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,0,"Siria",750
"SK","Eslovaquia","2008",0,0.625,0.75,0,0,NA,0,NA,NA,NA,0.75,0,0.75,"Iraq",890
"SK","Eslovaquia","2009",1,0.888889,1,NA,NA,1,0.3,NA,1,NA,1,0.3,0.7,"Siria",890
"SK","Eslovaquia","2010",NA,0.545455,0.5,0,0,1,0,NA,NA,NA,1,0,1,"Somalia",890
"SK","Eslovaquia","2012",NA,0.222222,NA,NA,NA,NA,NA,NA,NA,NA,0.222222,0.222222,0,"Afganistán",890
"SK","Eslovaquia","2013",NA,0.333333,NA,NA,NA,NA,NA,NA,NA,NA,0.333333,0.333333,0,"Afganistán",890
"SK","Eslovaquia","2014",NA,0.714286,NA,NA,NA,NA,NA,NA,NA,NA,0.714286,0.714286,0,"Afganistán",890
"UK","Reino Unido","2008",0.24,0.413519,0.283537,0.428571,0.0769231,0.530075,0.134948,0.068323,0.248792,1,1,0.068323,0.931677,"Kosovo",171665
"UK","Reino Unido","2009",0.243243,0.41404,0.184818,0.133333,NA,0.484252,0.0837563,0.0625,0.189899,0.285714,0.484252,0.0625,0.421752,"Somalia",171665
"UK","Reino Unido","2010",0.194444,0.339506,0.177419,0.291667,NA,0.521951,0.0976645,0.0608696,0.313761,0,0.521951,0,0.521951,"Somalia",171665
"UK","Reino Unido","2011",0.42029,0.28,0.252747,0.1875,NA,0.719697,0.143987,0.137755,0.46461,0,0.719697,0,0.719697,"Somalia",171665
"UK","Reino Unido","2012",0.797414,0.328704,0.296875,0.384615,NA,0.714286,0.171392,0.157658,0.523897,0,0.797414,0,0.797414,"Siria",171665
"UK","Reino Unido","2013",0.862687,0.376569,0.318841,0.35,NA,0.623656,0.267586,0.144105,0.560768,0,0.862687,0,0.862687,"Siria",171665
"UK","Reino Unido","2014",0.88785,0.382456,0.352941,0.333333,0,0.474359,0.226277,0.19697,0.549784,0,0.88785,0,0.88785,"Siria",171665
