"year","Alemania","Francia","Suecia","Reino_Unido","Italia","Bélgica","Holanda","Grecia","Austria","Dinamarca","Polonia","España","Finlandia","Hungría","Bulgaria","Malta","Chipre","Irlanda","Rumanía","Luxemburgo","República_Checa","Lituania","Eslovaquia","Eslovenia","Portugal","Croacia","Letonia","Estonia","mean"
"2008",0.4069,0.16021,0.262455,0.294332,0.47974,0.252727,0.526167,0.000855286,0.269478,NA,0.660241,0.0397554,0.378378,0.29771,0.438017,0.530418,NA,0.0702541,0.153226,0.373333,0.128,0.692308,0.216667,0,0.75,NA,NA,NA,0.32092
"2009",0.363019,0.13906,0.293407,0.267309,0.394013,0.185234,0.470043,0.00704473,0.212912,0.501695,0.382716,0.0587544,0.317029,0.202985,0.4375,0.65873,0.293405,0.0225303,0.191489,0.216216,0.102273,0.26087,0.511111,0.0666667,0.666667,NA,0,0,0.267507
"2010",0.227782,0.132788,0.306511,0.240858,0.376305,0.206475,0.453782,0.0196672,0.246484,0.414516,0.0985915,0.204678,0.328694,0.236842,0.261364,0.655738,0.165236,0.00361011,0.146667,0.0526316,0.324675,0.03125,0.222222,0.153846,0.333333,NA,0.571429,0.5,0.256147
"2011",0.237297,0.107432,0.326531,0.313669,0.294241,0.251202,0.431379,0.0141093,0.30515,0.366766,0.13128,0.277338,0.395349,0.169355,0.320388,0.548701,0.0137795,0.0288066,0.0456853,0.0216216,0.441667,0.0178571,0,0,0.5,NA,0.125,0.142857,0.215832
"2012",0.29003,0.143121,0.391931,0.354032,0.810335,0.222268,0.403153,0.00407609,0.276677,0.363122,0.195378,0.17382,0.476923,0.294521,0.27027,0.915858,0.0627615,0.0753425,0.129139,0.0220126,0.211864,0.0985915,0.125,0.103448,0.384615,0.0526316,0.157895,0,0.250315
"2013",0.262628,0.171398,0.53302,0.378575,0.609412,0.289287,0.494098,0.0348567,0.291031,0.406968,0.222022,0.21028,0.492857,0.0375,0.888278,0.858311,0.2,0.155039,0.655172,0.0704846,0.377358,0.344828,0.25,0.103448,0.275,0.0384615,0.230769,0,0.317182
"2014",0.416555,0.214731,0.770008,0.39023,0.5856,0.393691,0.672963,0.142146,NA,0.687023,0.255725,0.439883,0.543478,0.0732177,0.951403,0.742331,0.778226,0.339181,0.477663,0.104575,0.352601,0.4375,0.714286,0.714286,0.518519,0.0540541,0.3,0.25,0.456292
