"origin","destiny","sex","age","accepted_total","rejected_total","total","predict2015"
"Afghanistan","Austria","Females","14 to 17",200,90,290,0.8415
"Armenia","Austria","Females","14 to 17",5,50,55,0.2881
"Azerbaijan","Austria","Females","14 to 17",0,10,10,0.5169
"Bosnia and Herzegovina","Austria","Females","14 to 17",0,30,30,0.1349
"China (including Hong Kong)","Austria","Females","14 to 17",0,5,5,0.6138
"Dem. Rep. Congo","Austria","Females","14 to 17",10,0,10,0.5754
"Eritrea","Austria","Females","14 to 17",5,0,5,0.9514
"Georgia","Austria","Females","14 to 17",5,15,20,0.1471
"Iran","Austria","Females","14 to 17",30,10,40,0.8545
"Iraq","Austria","Females","14 to 17",70,0,70,0.8941
"Kazakhstan","Austria","Females","14 to 17",0,5,5,0.3386
"Kosovo","Austria","Females","14 to 17",10,40,50,0.2269
"Macedonia","Austria","Females","14 to 17",0,30,30,0.0239
"Mongolia","Austria","Females","14 to 17",0,25,25,0.147
"Nigeria","Austria","Females","14 to 17",10,20,30,0.3744
"Russia","Austria","Females","14 to 17",85,265,350,0.5291
"Serbia","Austria","Females","14 to 17",5,45,50,0.1132
"Somalia","Austria","Females","14 to 17",75,5,80,0.9195
"Stateless","Austria","Females","14 to 17",0,5,5,0.9249
"Syria","Austria","Females","14 to 17",35,0,35,0.974
"Turkey","Austria","Females","14 to 17",5,5,10,0.5038
"Uzbekistan","Austria","Females","14 to 17",0,5,5,0.5043
"Afghanistan","Belgium","Females","14 to 17",120,80,200,0.8318
"Albania","Belgium","Females","14 to 17",15,95,110,0.3017
"Angola","Belgium","Females","14 to 17",5,40,45,0.4659
"Armenia","Belgium","Females","14 to 17",0,85,85,0.2737
"Azerbaijan","Belgium","Females","14 to 17",0,5,5,0.4992
"Bosnia and Herzegovina","Belgium","Females","14 to 17",0,25,25,0.1269
"Bulgaria","Belgium","Females","14 to 17",0,5,5,0
"Burundi","Belgium","Females","14 to 17",5,20,25,0.7138
"Côte d'Ivoire","Belgium","Females","14 to 17",10,5,15,0.5958
"Cameroon","Belgium","Females","14 to 17",0,5,5,0.5784
"China (including Hong Kong)","Belgium","Females","14 to 17",10,0,10,0.5968
"Czech Republic","Belgium","Females","14 to 17",0,5,5,0
"Dem. Rep. Congo","Belgium","Females","14 to 17",70,145,215,0.558
"Djibouti","Belgium","Females","14 to 17",10,5,15,0.7297
"Ethiopia","Belgium","Females","14 to 17",0,5,5,0.7302
"Georgia","Belgium","Females","14 to 17",0,25,25,0.1384
"Guinea","Belgium","Females","14 to 17",105,85,190,0.669
"Haiti","Belgium","Females","14 to 17",0,5,5,0.3841
"Hungary","Belgium","Females","14 to 17",0,10,10,0
"Iran","Belgium","Females","14 to 17",5,40,45,0.8455
"Iraq","Belgium","Females","14 to 17",45,35,80,0.8871
"Kazakhstan","Belgium","Females","14 to 17",0,20,20,0.3229
"Kenya","Belgium","Females","14 to 17",0,5,5,0.392
"Kosovo","Belgium","Females","14 to 17",25,250,275,0.2147
"Kyrgyzstan","Belgium","Females","14 to 17",0,5,5,0.3512
"Macedonia","Belgium","Females","14 to 17",5,70,75,0.0223
"Montenegro","Belgium","Females","14 to 17",0,5,5,0.051
"Pakistan","Belgium","Females","14 to 17",0,5,5,0.4829
"Romania","Belgium","Females","14 to 17",0,25,25,0.0534
"Russia","Belgium","Females","14 to 17",60,205,265,0.5113
"Rwanda","Belgium","Females","14 to 17",35,55,90,0.7719
"Serbia","Belgium","Females","14 to 17",30,190,220,0.1063
"Slovakia","Belgium","Females","14 to 17",0,30,30,0
"Somalia","Belgium","Females","14 to 17",10,15,25,0.9141
"Sri Lanka","Belgium","Females","14 to 17",10,20,30,0.6981
"Syria","Belgium","Females","14 to 17",75,25,100,0.9721
"Turkey","Belgium","Females","14 to 17",5,15,20,0.486
"Ukraine","Belgium","Females","14 to 17",0,5,5,0.2868
"Unknown","Belgium","Females","14 to 17",5,20,25,0.694
"Armenia","Bulgaria","Females","14 to 17",0,5,5,0.3583
"Iraq","Bulgaria","Females","14 to 17",15,10,25,0.9209
"Mali","Bulgaria","Females","14 to 17",0,5,5,0.7589
"Stateless","Bulgaria","Females","14 to 17",30,0,30,0.9444
"Syria","Bulgaria","Females","14 to 17",205,0,205,0.981
"Iraq","Cyprus","Females","14 to 17",10,10,20,0.7693
"Palestine","Cyprus","Females","14 to 17",25,10,35,0.7989
"Somalia","Cyprus","Females","14 to 17",5,0,5,0.8186
"Syria","Cyprus","Females","14 to 17",20,0,20,0.9366
"Kazakhstan","Czech Republic","Females","14 to 17",5,0,5,0.4926
"Myanmar/Burma","Czech Republic","Females","14 to 17",5,0,5,0.9407
"Russia","Czech Republic","Females","14 to 17",0,5,5,0.6805
"Turkey","Czech Republic","Females","14 to 17",0,5,5,0.6581
"Ukraine","Czech Republic","Females","14 to 17",5,0,5,0.4501
"Afghanistan","Denmark","Females","14 to 17",50,40,90,0.7804
"Armenia","Denmark","Females","14 to 17",0,5,5,0.2131
"Eritrea","Denmark","Females","14 to 17",5,0,5,0.929
"Iran","Denmark","Females","14 to 17",15,5,20,0.7972
"Iraq","Denmark","Females","14 to 17",5,5,10,0.8496
"Kosovo","Denmark","Females","14 to 17",0,20,20,0.1642
"Russia","Denmark","Females","14 to 17",10,20,30,0.4292
"Serbia","Denmark","Females","14 to 17",0,60,60,0.0787
"Somalia","Denmark","Females","14 to 17",30,5,35,0.8843
"Sri Lanka","Denmark","Females","14 to 17",0,5,5,0.6243
"Stateless","Denmark","Females","14 to 17",20,0,20,0.8918
"Syria","Denmark","Females","14 to 17",75,10,85,0.9616
"Afghanistan","Finland","Females","14 to 17",15,5,20,0.8554
"Bulgaria","Finland","Females","14 to 17",0,35,35,0
"Ethiopia","Finland","Females","14 to 17",5,0,5,0.7641
"Iran","Finland","Females","14 to 17",5,5,10,0.8675
"Iraq","Finland","Females","14 to 17",20,0,20,0.9039
"Kosovo","Finland","Females","14 to 17",0,15,15,0.2465
"Romania","Finland","Females","14 to 17",0,5,5,0.0633
"Russia","Finland","Females","14 to 17",5,10,15,0.556
"Serbia","Finland","Females","14 to 17",0,5,5,0.1246
"Somalia","Finland","Females","14 to 17",180,15,195,0.9272
"Syria","Finland","Females","14 to 17",10,0,10,0.9766
"Turkey","Finland","Females","14 to 17",5,0,5,0.5309
"Ukraine","Finland","Females","14 to 17",0,10,10,0.3249
"Afghanistan","France","Females","14 to 17",25,15,40,0.7945
"Albania","France","Females","14 to 17",25,205,230,0.2526
"Algeria","France","Females","14 to 17",10,20,30,0.1564
"Angola","France","Females","14 to 17",25,50,75,0.4055
"Armenia","France","Females","14 to 17",15,205,220,0.2277
"Azerbaijan","France","Females","14 to 17",15,50,65,0.438
"Bangladesh","France","Females","14 to 17",0,15,15,0.2645
"Bosnia and Herzegovina","France","Females","14 to 17",5,40,45,0.102
"Burundi","France","Females","14 to 17",5,0,5,0.6611
"Côte d'Ivoire","France","Females","14 to 17",25,5,30,0.5355
"Cameroon","France","Females","14 to 17",5,0,5,0.5176
"Central African Republic","France","Females","14 to 17",10,0,10,0.8773
"Chad","France","Females","14 to 17",5,5,10,0.575
"China (including Hong Kong)","France","Females","14 to 17",35,25,60,0.5365
"Colombia","France","Females","14 to 17",0,5,5,0.381
"Comoros","France","Females","14 to 17",25,10,35,0.404
"Congo","France","Females","14 to 17",25,5,30,0.5078
"Dem. Rep. Congo","France","Females","14 to 17",175,195,370,0.4968
"Djibouti","France","Females","14 to 17",5,0,5,0.6786
"Egypt","France","Females","14 to 17",5,5,10,0.5173
"Eritrea","France","Females","14 to 17",10,5,15,0.9344
"Ethiopia","France","Females","14 to 17",10,0,10,0.6791
"Georgia","France","Females","14 to 17",15,125,140,0.1116
"Guinea","France","Females","14 to 17",40,20,60,0.6125
"Haiti","France","Females","14 to 17",30,10,40,0.3278
"Iran","France","Females","14 to 17",10,10,20,0.8106
"Iraq","France","Females","14 to 17",40,0,40,0.8601
"Kazakhstan","France","Females","14 to 17",0,10,10,0.2717
"Kosovo","France","Females","14 to 17",25,290,315,0.1762
"Kyrgyzstan","France","Females","14 to 17",5,5,10,0.2975
"Macedonia","France","Females","14 to 17",5,35,40,0.0175
"Madagascar","France","Females","14 to 17",0,5,5,0.2868
"Mali","France","Females","14 to 17",20,10,30,0.6243
"Mauritania","France","Females","14 to 17",35,0,35,0.4629
"Moldova","France","Females","14 to 17",0,5,5,0.1006
"Mongolia","France","Females","14 to 17",5,15,20,0.1115
"Montenegro","France","Females","14 to 17",0,25,25,0.0404
"Morocco","France","Females","14 to 17",5,0,5,0.2062
"Nigeria","France","Females","14 to 17",0,10,10,0.3036
"Pakistan","France","Females","14 to 17",5,10,15,0.4221
"Palestine","France","Females","14 to 17",5,0,5,0.8799
"Peru","France","Females","14 to 17",0,5,5,0.3416
"Russia","France","Females","14 to 17",125,305,430,0.4501
"Rwanda","France","Females","14 to 17",35,0,35,0.7258
"Senegal","France","Females","14 to 17",0,5,5,0.4325
"Serbia","France","Females","14 to 17",20,60,80,0.0851
"Somalia","France","Females","14 to 17",15,0,15,0.8927
"Sri Lanka","France","Females","14 to 17",75,15,90,0.6439
"Sudan","France","Females","14 to 17",15,5,20,0.7918
"Syria","France","Females","14 to 17",70,5,75,0.9646
"Turkey","France","Females","14 to 17",5,50,55,0.4251
"Ukraine","France","Females","14 to 17",0,10,10,0.2392
"Afghanistan","Germany","Females","14 to 17",625,390,1015,0.8121
"Albania","Germany","Females","14 to 17",5,80,85,0.2741
"Angola","Germany","Females","14 to 17",5,10,15,0.4326
"Armenia","Germany","Females","14 to 17",5,60,65,0.2478
"Azerbaijan","Germany","Females","14 to 17",5,55,60,0.4655
"Bosnia and Herzegovina","Germany","Females","14 to 17",0,370,370,0.1127
"Bulgaria","Germany","Females","14 to 17",0,5,5,0
"Côte d'Ivoire","Germany","Females","14 to 17",5,0,5,0.563
"Cambodia","Germany","Females","14 to 17",0,5,5,0.5293
"Cameroon","Germany","Females","14 to 17",0,10,10,0.5452
"China (including Hong Kong)","Germany","Females","14 to 17",15,10,25,0.564
"Dem. Rep. Congo","Germany","Females","14 to 17",25,35,60,0.5245
"Egypt","Germany","Females","14 to 17",0,5,5,0.5449
"Eritrea","Germany","Females","14 to 17",120,10,130,0.9409
"Ethiopia","Germany","Females","14 to 17",60,155,215,0.7028
"Gambia, The","Germany","Females","14 to 17",10,0,10,0.4287
"Georgia","Germany","Females","14 to 17",0,35,35,0.1231
"Guinea","Germany","Females","14 to 17",30,10,40,0.6385
"Hungary","Germany","Females","14 to 17",0,5,5,0
"India","Germany","Females","14 to 17",0,5,5,0.0865
"Iran","Germany","Females","14 to 17",170,95,265,0.827
"Iraq","Germany","Females","14 to 17",700,280,980,0.8729
"Kenya","Germany","Females","14 to 17",10,30,40,0.3604
"Kosovo","Germany","Females","14 to 17",10,355,365,0.1929
"Lebanon","Germany","Females","14 to 17",0,25,25,0.2844
"Macedonia","Germany","Females","14 to 17",0,760,760,0.0195
"Mongolia","Germany","Females","14 to 17",0,5,5,0.123
"Montenegro","Germany","Females","14 to 17",0,50,50,0.0449
"Myanmar/Burma","Germany","Females","14 to 17",5,0,5,0.8719
"Nigeria","Germany","Females","14 to 17",15,25,40,0.3276
"Pakistan","Germany","Females","14 to 17",30,35,65,0.4494
"Russia","Germany","Females","14 to 17",55,380,435,0.4777
"Rwanda","Germany","Females","14 to 17",5,0,5,0.7473
"Serbia","Germany","Females","14 to 17",5,1805,1810,0.0942
"Sierra Leone","Germany","Females","14 to 17",15,5,20,0.6028
"Somalia","Germany","Females","14 to 17",140,15,155,0.9029
"Sri Lanka","Germany","Females","14 to 17",15,10,25,0.6689
"Stateless","Germany","Females","14 to 17",30,25,55,0.9093
"Syria","Germany","Females","14 to 17",965,130,1095,0.9682
"Turkey","Germany","Females","14 to 17",55,80,135,0.4525
"Unknown","Germany","Females","14 to 17",120,70,190,0.6647
"Vietnam","Germany","Females","14 to 17",5,80,85,0.2239
"Afghanistan","Greece","Females","14 to 17",0,40,40,0.2662
"Albania","Greece","Females","14 to 17",0,30,30,0.0307
"China (including Hong Kong)","Greece","Females","14 to 17",0,10,10,0.0979
"Ethiopia","Greece","Females","14 to 17",0,5,5,0.1656
"Georgia","Greece","Females","14 to 17",0,10,10,0.0116
"Iraq","Greece","Females","14 to 17",0,5,5,0.3657
"Nigeria","Greece","Females","14 to 17",0,10,10,0.0393
"Somalia","Greece","Females","14 to 17",0,5,5,0.4384
"Syria","Greece","Females","14 to 17",10,15,25,0.7187
"Uzbekistan","Greece","Females","14 to 17",0,25,25,0.065
"Afghanistan","Hungary","Females","14 to 17",10,5,15,0.6921
"Kosovo","Hungary","Females","14 to 17",0,125,125,0.1105
"Serbia","Hungary","Females","14 to 17",0,5,5,0.0513
"Somalia","Hungary","Females","14 to 17",5,0,5,0.8287
"Syria","Hungary","Females","14 to 17",5,0,5,0.9406
"Cameroon","Ireland","Females","14 to 17",0,5,5,0.2305
"Congo","Ireland","Females","14 to 17",0,5,5,0.2236
"Dem. Rep. Congo","Ireland","Females","14 to 17",0,15,15,0.2161
"Ghana","Ireland","Females","14 to 17",0,5,5,0.159
"Kenya","Ireland","Females","14 to 17",0,5,5,0.1234
"Nigeria","Ireland","Females","14 to 17",0,75,75,0.1085
"Pakistan","Ireland","Females","14 to 17",0,20,20,0.1694
"Sierra Leone","Ireland","Females","14 to 17",0,5,5,0.2749
"Somalia","Ireland","Females","14 to 17",5,5,10,0.6991
"South Africa","Ireland","Females","14 to 17",0,5,5,0.1074
"Zimbabwe","Ireland","Females","14 to 17",0,15,15,0.4193
"Afghanistan","Italy","Females","14 to 17",10,0,10,0.9692
"Albania","Italy","Females","14 to 17",5,0,5,0.7335
"Bosnia and Herzegovina","Italy","Females","14 to 17",0,35,35,0.4806
"Congo","Italy","Females","14 to 17",5,0,5,0.8936
"Croatia","Italy","Females","14 to 17",0,5,5,0.4298
"Eritrea","Italy","Females","14 to 17",25,0,25,0.9915
"Haiti","Italy","Females","14 to 17",10,0,10,0.7989
"Iran","Italy","Females","14 to 17",5,5,10,0.9721
"Iraq","Italy","Females","14 to 17",5,5,10,0.9804
"Kosovo","Italy","Females","14 to 17",5,10,15,0.6352
"Macedonia","Italy","Females","14 to 17",0,5,5,0.1268
"Montenegro","Italy","Females","14 to 17",0,10,10,0.2552
"Morocco","Italy","Females","14 to 17",5,0,5,0.679
"Nigeria","Italy","Females","14 to 17",35,45,80,0.7803
"Pakistan","Italy","Females","14 to 17",10,0,10,0.8561
"Serbia","Italy","Females","14 to 17",15,35,50,0.431
"Somalia","Italy","Females","14 to 17",40,5,45,0.9855
"Syria","Italy","Females","14 to 17",0,15,15,0.9955
"Tunisia","Italy","Females","14 to 17",5,5,10,0.4904
"Turkey","Italy","Females","14 to 17",0,10,10,0.8576
"Unknown","Italy","Females","14 to 17",15,10,25,0.9353
"Georgia","Latvia","Females","14 to 17",0,5,5,0.083
"Albania","Luxembourg","Females","14 to 17",5,10,15,0.1994
"Bosnia and Herzegovina","Luxembourg","Females","14 to 17",0,10,10,0.0773
"Kosovo","Luxembourg","Females","14 to 17",0,20,20,0.1361
"Macedonia","Luxembourg","Females","14 to 17",0,10,10,0.013
"Montenegro","Luxembourg","Females","14 to 17",0,10,10,0.0301
"Serbia","Luxembourg","Females","14 to 17",5,25,30,0.0642
"Eritrea","Malta","Females","14 to 17",5,0,5,0.9846
"Libya","Malta","Females","14 to 17",5,0,5,0.8709
"Nigeria","Malta","Females","14 to 17",0,5,5,0.6617
"Somalia","Malta","Females","14 to 17",30,0,30,0.9739
"Syria","Malta","Females","14 to 17",10,0,10,0.9919
"Afghanistan","Netherlands","Females","14 to 17",185,115,300,0.8344
"Angola","Netherlands","Females","14 to 17",0,10,10,0.4706
"Armenia","Netherlands","Females","14 to 17",5,40,45,0.2775
"Azerbaijan","Netherlands","Females","14 to 17",5,5,10,0.5039
"Bosnia and Herzegovina","Netherlands","Females","14 to 17",0,5,5,0.129
"Burundi","Netherlands","Females","14 to 17",5,0,5,0.7177
"Côte d'Ivoire","Netherlands","Females","14 to 17",5,0,5,0.6003
"China (including Hong Kong)","Netherlands","Females","14 to 17",20,35,55,0.6013
"Congo","Netherlands","Females","14 to 17",30,10,40,0.5734
"Dem. Rep. Congo","Netherlands","Females","14 to 17",30,0,30,0.5626
"Egypt","Netherlands","Females","14 to 17",5,5,10,0.5827
"Eritrea","Netherlands","Females","14 to 17",135,10,145,0.9489
"Ethiopia","Netherlands","Females","14 to 17",20,5,25,0.7339
"Georgia","Netherlands","Females","14 to 17",0,20,20,0.1407
"Guinea","Netherlands","Females","14 to 17",35,50,85,0.6731
"Iran","Netherlands","Females","14 to 17",60,45,105,0.8479
"Iraq","Netherlands","Females","14 to 17",245,50,295,0.889
"Macedonia","Netherlands","Females","14 to 17",0,25,25,0.0227
"Mongolia","Netherlands","Females","14 to 17",0,15,15,0.1406
"Myanmar/Burma","Netherlands","Females","14 to 17",20,0,20,0.8881
"Nepal","Netherlands","Females","14 to 17",5,0,5,0.4029
"Nigeria","Netherlands","Females","14 to 17",5,10,15,0.3623
"North Korea","Netherlands","Females","14 to 17",0,5,5,0.7639
"Pakistan","Netherlands","Females","14 to 17",5,5,10,0.4876
"Russia","Netherlands","Females","14 to 17",0,55,55,0.516
"Serbia","Netherlands","Females","14 to 17",0,15,15,0.1081
"Sierra Leone","Netherlands","Females","14 to 17",40,10,50,0.6389
"Somalia","Netherlands","Females","14 to 17",680,85,765,0.9156
"Sri Lanka","Netherlands","Females","14 to 17",10,10,20,0.702
"Stateless","Netherlands","Females","14 to 17",40,5,45,0.9212
"Syria","Netherlands","Females","14 to 17",105,15,120,0.9726
"Uganda","Netherlands","Females","14 to 17",10,0,10,0.7913
"Unknown","Netherlands","Females","14 to 17",30,25,55,0.698
"Vietnam","Netherlands","Females","14 to 17",0,5,5,0.2518
"Armenia","Poland","Females","14 to 17",5,5,10,0.4593
"Georgia","Poland","Females","14 to 17",0,70,70,0.2659
"Russia","Poland","Females","14 to 17",150,235,385,0.7022
"Syria","Poland","Females","14 to 17",5,0,5,0.9874
"Ukraine","Poland","Females","14 to 17",0,10,10,0.4754
"Guinea","Portugal","Females","14 to 17",0,5,5,0.8673
"Nigeria","Portugal","Females","14 to 17",0,5,5,0.6433
"Afghanistan","Romania","Females","14 to 17",0,5,5,0.7266
"Syria","Romania","Females","14 to 17",30,5,35,0.9493
"Bosnia and Herzegovina","Slovenia","Females","14 to 17",0,5,5,0.0262
"Armenia","Spain","Females","14 to 17",0,5,5,0.1889
"Colombia","Spain","Females","14 to 17",10,100,110,0.3271
"Cuba","Spain","Females","14 to 17",20,0,20,0.8254
"Dem. Rep. Congo","Spain","Females","14 to 17",5,0,5,0.4382
"Iraq","Spain","Females","14 to 17",0,5,5,0.8292
"Malawi","Spain","Females","14 to 17",0,5,5,0.3586
"Palestine","Spain","Females","14 to 17",10,0,10,0.8526
"Russia","Spain","Females","14 to 17",0,5,5,0.3926
"Somalia","Spain","Females","14 to 17",25,10,35,0.868
"Sudan","Spain","Females","14 to 17",5,0,5,0.7502
"Syria","Spain","Females","14 to 17",35,0,35,0.9556
"Afghanistan","Sweden","Females","14 to 17",380,115,495,0.7922
"Albania","Sweden","Females","14 to 17",0,60,60,0.2499
"Armenia","Sweden","Females","14 to 17",0,40,40,0.2252
"Azerbaijan","Sweden","Females","14 to 17",0,40,40,0.4345
"Belarus","Sweden","Females","14 to 17",0,10,10,0.414
"Bosnia and Herzegovina","Sweden","Females","14 to 17",0,85,85,0.1007
"Bulgaria","Sweden","Females","14 to 17",0,5,5,0
"Burundi","Sweden","Females","14 to 17",10,0,10,0.6579
"China (including Hong Kong)","Sweden","Females","14 to 17",0,5,5,0.533
"Dem. Rep. Congo","Sweden","Females","14 to 17",15,0,15,0.4933
"Djibouti","Sweden","Females","14 to 17",0,5,5,0.6755
"Egypt","Sweden","Females","14 to 17",5,5,10,0.5138
"Eritrea","Sweden","Females","14 to 17",465,25,490,0.9336
"Ethiopia","Sweden","Females","14 to 17",65,45,110,0.676
"Georgia","Sweden","Females","14 to 17",0,25,25,0.1102
"Iran","Sweden","Females","14 to 17",40,80,120,0.8084
"Iraq","Sweden","Females","14 to 17",185,155,340,0.8584
"Jordan","Sweden","Females","14 to 17",5,0,5,0.4242
"Kazakhstan","Sweden","Females","14 to 17",0,30,30,0.2688
"Kosovo","Sweden","Females","14 to 17",20,130,150,0.1741
"Kyrgyzstan","Sweden","Females","14 to 17",5,20,25,0.2945
"Lebanon","Sweden","Females","14 to 17",5,35,40,0.2596
"Macedonia","Sweden","Females","14 to 17",0,75,75,0.0173
"Mongolia","Sweden","Females","14 to 17",10,55,65,0.1101
"Montenegro","Sweden","Females","14 to 17",0,5,5,0.0398
"Morocco","Sweden","Females","14 to 17",0,5,5,0.2039
"Nigeria","Sweden","Females","14 to 17",10,5,15,0.3006
"Pakistan","Sweden","Females","14 to 17",0,5,5,0.4186
"Russia","Sweden","Females","14 to 17",35,85,120,0.4465
"Serbia","Sweden","Females","14 to 17",25,450,475,0.084
"Sierra Leone","Sweden","Females","14 to 17",10,0,10,0.5724
"Somalia","Sweden","Females","14 to 17",820,95,915,0.8914
"Stateless","Sweden","Females","14 to 17",270,65,335,0.8984
"Sudan","Sweden","Females","14 to 17",0,5,5,0.7894
"Syria","Sweden","Females","14 to 17",765,60,825,0.9641
"Turkey","Sweden","Females","14 to 17",0,10,10,0.4216
"Uganda","Sweden","Females","14 to 17",20,0,20,0.7415
"Ukraine","Sweden","Females","14 to 17",0,5,5,0.2367
"Unknown","Sweden","Females","14 to 17",0,75,75,0.6362
"Uzbekistan","Sweden","Females","14 to 17",10,30,40,0.4222
"Vietnam","Sweden","Females","14 to 17",5,5,10,0.2029
"Yemen","Sweden","Females","14 to 17",0,5,5,0.7206
"Afghanistan","United Kingdom","Females","14 to 17",80,90,170,0.8039
"Albania","United Kingdom","Females","14 to 17",25,35,60,0.2637
"Algeria","United Kingdom","Females","14 to 17",0,5,5,0.1642
"Angola","United Kingdom","Females","14 to 17",35,5,40,0.4196
"Bangladesh","United Kingdom","Females","14 to 17",25,25,50,0.2759
"Burundi","United Kingdom","Females","14 to 17",5,0,5,0.674
"Côte d'Ivoire","United Kingdom","Females","14 to 17",10,5,15,0.5499
"China (including Hong Kong)","United Kingdom","Females","14 to 17",80,45,125,0.5509
"Congo","United Kingdom","Females","14 to 17",5,0,5,0.5223
"Dem. Rep. Congo","United Kingdom","Females","14 to 17",75,35,110,0.5113
"Egypt","United Kingdom","Females","14 to 17",0,5,5,0.5318
"Eritrea","United Kingdom","Females","14 to 17",280,45,325,0.9379
"Ethiopia","United Kingdom","Females","14 to 17",35,5,40,0.6916
"Gambia, The","United Kingdom","Females","14 to 17",25,5,30,0.4158
"Georgia","United Kingdom","Females","14 to 17",0,5,5,0.1175
"Guinea","United Kingdom","Females","14 to 17",30,10,40,0.6262
"India","United Kingdom","Females","14 to 17",0,10,10,0.0824
"Iran","United Kingdom","Females","14 to 17",105,115,220,0.8193
"Iraq","United Kingdom","Females","14 to 17",25,45,70,0.8669
"Jamaica","United Kingdom","Females","14 to 17",15,0,15,0.5968
"Kenya","United Kingdom","Females","14 to 17",5,5,10,0.3483
"Kosovo","United Kingdom","Females","14 to 17",5,0,5,0.1847
"Libya","United Kingdom","Females","14 to 17",5,15,20,0.6143
"Malawi","United Kingdom","Females","14 to 17",0,10,10,0.4286
"Malaysia","United Kingdom","Females","14 to 17",5,0,5,0.5148
"Mongolia","United Kingdom","Females","14 to 17",0,5,5,0.1174
"Nigeria","United Kingdom","Females","14 to 17",90,80,170,0.3161
"North Korea","United Kingdom","Females","14 to 17",5,5,10,0.7247
"Pakistan","United Kingdom","Females","14 to 17",85,265,350,0.4363
"Russia","United Kingdom","Females","14 to 17",0,5,5,0.4645
"Sierra Leone","United Kingdom","Females","14 to 17",15,5,20,0.59
"Somalia","United Kingdom","Females","14 to 17",225,40,265,0.8982
"South Africa","United Kingdom","Females","14 to 17",5,10,15,0.3135
"Sri Lanka","United Kingdom","Females","14 to 17",20,55,75,0.6571
"Stateless","United Kingdom","Females","14 to 17",15,0,15,0.9048
"Sudan","United Kingdom","Females","14 to 17",15,10,25,0.8012
"Syria","United Kingdom","Females","14 to 17",40,5,45,0.9665
"Turkey","United Kingdom","Females","14 to 17",5,15,20,0.4394
"Vietnam","United Kingdom","Females","14 to 17",80,10,90,0.2149
"Zimbabwe","United Kingdom","Females","14 to 17",130,145,275,0.7327
"Afghanistan","Austria","Males","14 to 17",1080,985,2065,0.7753
"Albania","Austria","Males","14 to 17",0,5,5,0.2316
"Algeria","Austria","Males","14 to 17",0,140,140,0.1419
"Armenia","Austria","Males","14 to 17",5,65,70,0.2082
"Azerbaijan","Austria","Males","14 to 17",5,15,20,0.4102
"Bangladesh","Austria","Males","14 to 17",0,10,10,0.2429
"Bosnia and Herzegovina","Austria","Males","14 to 17",0,10,10,0.092
"China (including Hong Kong)","Austria","Males","14 to 17",5,5,10,0.508
"Gambia, The","Austria","Males","14 to 17",0,50,50,0.3747
"Georgia","Austria","Males","14 to 17",10,60,70,0.1008
"Guinea","Austria","Males","14 to 17",0,15,15,0.5851
"Guinea-Bissau","Austria","Males","14 to 17",0,20,20,0.4143
"India","Austria","Males","14 to 17",0,40,40,0.0703
"Iran","Austria","Males","14 to 17",45,35,80,0.7924
"Iraq","Austria","Males","14 to 17",85,25,110,0.8458
"Kosovo","Austria","Males","14 to 17",5,80,85,0.1602
"Kyrgyzstan","Austria","Males","14 to 17",0,10,10,0.2742
"Lebanon","Austria","Males","14 to 17",0,5,5,0.2408
"Liberia","Austria","Males","14 to 17",0,10,10,0.363
"Macedonia","Austria","Males","14 to 17",0,20,20,0.0157
"Moldova","Austria","Males","14 to 17",0,75,75,0.0908
"Mongolia","Austria","Males","14 to 17",0,40,40,0.1007
"Morocco","Austria","Males","14 to 17",0,110,110,0.1881
"Nigeria","Austria","Males","14 to 17",0,185,185,0.2801
"Pakistan","Austria","Males","14 to 17",0,75,75,0.3945
"Russia","Austria","Males","14 to 17",85,340,425,0.422
"Senegal","Austria","Males","14 to 17",0,5,5,0.4047
"Serbia","Austria","Males","14 to 17",5,75,80,0.0766
"Sierra Leone","Austria","Males","14 to 17",0,5,5,0.5478
"Somalia","Austria","Males","14 to 17",90,65,155,0.8813
"Stateless","Austria","Males","14 to 17",20,20,40,0.8889
"Syria","Austria","Males","14 to 17",75,40,115,0.9605
"Tunisia","Austria","Males","14 to 17",0,5,5,0.0954
"Turkey","Austria","Males","14 to 17",15,20,35,0.3975
"Ukraine","Austria","Males","14 to 17",0,10,10,0.2191
"Afghanistan","Belgium","Males","14 to 17",960,430,1390,0.7626
"Albania","Belgium","Males","14 to 17",40,120,160,0.2192
"Algeria","Belgium","Males","14 to 17",0,5,5,0.1335
"Angola","Belgium","Males","14 to 17",0,30,30,0.3618
"Armenia","Belgium","Males","14 to 17",0,155,155,0.1967
"Azerbaijan","Belgium","Males","14 to 17",0,20,20,0.3931
"Bangladesh","Belgium","Males","14 to 17",0,15,15,0.23
"Bosnia and Herzegovina","Belgium","Males","14 to 17",0,45,45,0.0863
"Bulgaria","Belgium","Males","14 to 17",0,10,10,0
"Burundi","Belgium","Males","14 to 17",0,5,5,0.6185
"Cameroon","Belgium","Males","14 to 17",0,20,20,0.4713
"China (including Hong Kong)","Belgium","Males","14 to 17",15,0,15,0.4902
"Czech Republic","Belgium","Males","14 to 17",0,15,15,0
"Dem. Rep. Congo","Belgium","Males","14 to 17",30,90,120,0.4506
"Djibouti","Belgium","Males","14 to 17",5,5,10,0.637
"Eritrea","Belgium","Males","14 to 17",10,0,10,0.9221
"Ethiopia","Belgium","Males","14 to 17",0,5,5,0.6375
